run num	std dev	max pcr	min pcr	avg pcr	total pcr	k	target pcr
0	17.46268168838725	74.40930629940816	5.260351125709407	37.78244101840124	2115.816697030469	5	0.0	
1	21.995845860570142	91.5553008064723	2.8161078446586654	40.24491964131902	2253.715499913865	5	0.0	
2	17.73833499227031	72.81111850406849	3.2624462600294115	37.037811049560624	2000.0417966762736	5	0.0	
0	24.536533079775584	99.03560656867988	6.893988216536747	35.991881884702664	2195.5047949668624	5	0.0	
1	24.50055557377455	105.8909612044506	5.162288727979103	42.17271969603136	2446.0177423698187	5	0.0	
2	17.88695616108501	61.232639380125256	0.0018635510524975369	31.088004470990814	1958.5442816724212	5	0.0	
0	14.732458745269483	59.72610225272411	0.6531755738256592	29.814696252474025	2087.0287376731817	5	0.0	
1	14.856928461015697	61.16427764784154	2.5215937051761217	32.10758531456295	2119.1006307611547	5	0.0	
2	18.28165578880143	70.93828345234085	5.420264213520491	34.57903370007383	2455.111392705242	5	0.0	
0	16.720675500777283	61.54552222093523	5.311089541729405	32.0240235602797	2369.777743460698	5	0.0	
1	20.381923203134107	75.1986853297307	0.06746949738340403	29.37471835992673	2203.103876994505	5	0.0	
2	17.836062784512535	75.79636223541208	1.468099495185862	36.520774598591515	2739.0580948943634	5	0.0	
0	31.328789864495622	162.94561127707084	45.85035039717854	120.92283993428926	2297.533958751496	5	0.0	
1	21.659642951659592	98.23642269326044	6.740923097973811	70.78745170322011	1344.961582361182	5	0.0	
2	68.00833817714995	219.91001908727318	2.7640610671648114	125.6846171050028	2388.007724995053	5	0.0	
0	24.136527306570592	118.10192330223033	29.606302793033482	73.82059680576654	1845.5149201441636	5	0.0	
1	18.744149932875274	120.5895742052435	58.46660180350017	83.35360082262827	2083.8400205657067	5	0.0	
2	43.40727835585813	184.32986423383514	44.582183958311596	94.73764023716261	2273.7033656919025	5	0.0	
0	29.039677270895172	113.15248587285662	19.5068050468042	55.21896834344347	1767.006986990191	5	0.0	
1	29.32247932637783	119.80078537055773	1.692759782813333	69.11316660166175	2211.621331253176	5	0.0	
2	25.839080486835275	88.40732912118807	4.051035200231	52.15890683526135	1773.402832398886	5	0.0	
0	22.113132099829713	94.65670190921327	23.37611851608623	56.89447993901446	2332.673677499593	5	0.0	
1	17.71468460378967	74.97229810752263	1.0489543824730105	43.625901787370736	1788.6619732822003	5	0.0	
2	19.073855158820418	74.67196318195381	18.6679907954884	46.4249694909645	1856.9987796385801	5	0.0	
0	23.70097978870988	75.86586798553162	0.02533661305895398	47.137489512274385	2309.736986101445	5	0.0	
1	20.478282608327454	95.38631074531166	9.661384150804437	45.31578859070287	2220.473640944441	5	0.0	
2	25.148062056077045	90.92020601501486	4.527830687958631	48.347661156058464	2223.9924131786893	5	0.0	
0	18.96590476498092	74.89464952153429	2.4615838186125276	32.283948189770435	1743.3332022476036	5	0.0	
1	18.478930095926604	76.33884151464126	0.373668444201517	43.88481994694023	2369.7802771347724	5	0.0	
2	24.49455484875704	86.17823911257754	0.9967853053157085	46.34109504528904	2456.078037400319	5	0.0	
0	32.81597357180857	108.62850090575273	1.7954175268779127	42.65235382793454	2559.1412296760723	5	0.0	
1	25.8588011461529	87.83695961637663	2.5014591115803553	37.200151498874156	2269.2092414313233	5	0.0	
2	13.988997913889202	60.40583967077044	2.0521107203785016	34.2465397154388	1952.0527637800117	5	0.0	
0	15.688797110544831	67.30793721280634	1.832064854650103	34.30206867167557	2366.842738345614	5	0.0	
1	20.117315105289084	84.69056278402937	2.342121611426702E-5	34.13977137709596	2287.3646822654296	5	0.0	
2	16.286135501296794	75.64627757599142	6.8815016919932255	35.42895727101347	2373.7401371579026	5	0.0	
0	14.69906704400133	72.86445046818206	0.3842531654526837	27.445461663819955	2003.5187014588569	5	0.0	
1	19.655369733981438	91.35684425084177	1.284943641191768	34.69653105596919	2498.1502360297814	5	0.0	
2	18.738345371382024	87.06791726122927	0.481711912531309	31.57052532444423	2273.0778233599844	5	0.0	
0	19.039327231207988	126.92267776711155	73.79199947834645	98.02917017681172	1764.525063182611	5	0.0	
1	20.880880231848423	101.80500545822721	25.451251364556814	72.23058804826023	1372.3811729169443	5	0.0	
2	62.81164679231808	257.3974202896881	64.34935507242209	171.17654215995665	3252.3543010391763	5	0.0	
0	27.41141506701812	113.77589548448725	39.914187220824275	77.3766998138222	1934.4174953455552	5	0.0	
1	33.5675138298039	134.02324625439743	16.313906274093128	83.99216741691833	2015.81201800604	5	0.0	
2	51.47795317730826	169.96443392041522	2.5578469557137256	94.58755267617398	2364.6888169043496	5	0.0	
0	33.25369774878118	137.7000360983266	1.9325408954972532	71.25233410566562	2208.822357275634	5	0.0	
1	22.59914809077296	109.78066037817557	3.626771271105704	59.13012173366157	1951.2940172108317	5	0.0	
2	26.283024347706004	90.72727037743455	1.7705687460822253	49.806292278434334	1643.607645188333	5	0.0	
0	25.78385096754032	105.01585245770175	1.133205182515222	57.469815295495906	2356.2624271153322	5	0.0	
1	22.031219415391355	85.6858979469626	2.5127653156964715	50.144026629913874	2055.905091826469	5	0.0	
2	24.221690072465574	96.59798338633196	9.127372983436912	55.05131143187922	2202.0524572751688	5	0.0	
0	16.491379788401012	74.4644730659618	12.652709395167566	44.04397888765765	2070.0670077199097	5	0.0	
1	34.3160808297773	131.5845621651203	6.779411557362272	62.25647916867753	2677.028604253134	5	0.0	
2	21.333077176610303	96.80947101030348	0.8519401478309456	51.68789932293243	2429.3312681778243	5	0.0	
0	17.951457266358105	69.84914967588114	8.474696748029926	36.57974083643727	1975.3060051676123	5	0.0	
1	15.690973702329279	68.25079836766521	2.8301455680265946	37.54186052422376	2064.8023288323066	5	0.0	
2	23.318399427585547	77.74036378120432	1.5053615220742815	42.62106108128059	2216.2951762265907	5	0.0	
0	15.809815361988585	80.3025986136185	1.5738574137392625	37.25545499582032	2309.83820974086	5	0.0	
1	31.366374163525627	121.82846666562551	1.4570698861495672	49.070778469834536	2895.1759297202375	5	0.0	
2	21.714134009537656	78.42474088580448	5.089605344437316	36.1062859179708	2166.377155078248	5	0.0	
0	26.825275228353487	98.44016024541392	4.990936866491016	38.52941756229282	2697.0592293604973	5	0.0	
1	20.464889063973967	92.26486527344964	0.5870610633643377	35.48452461607118	2341.9786246606977	5	0.0	
2	24.651264783714055	93.29448359906701	3.0982334621722476	37.595716156515586	2594.1044147995754	5	0.0	
0	20.23047617337566	84.95465634822217	0.8765553862498422	33.11024743970753	2417.0480630986494	5	0.0	
1	17.48862619633093	62.09305059996654	1.409772138159861	30.683334678445068	2270.566766204935	5	0.0	
2	14.979512123050489	56.34681703701594	0.029743784040167757	29.14230001177156	2243.9571009064102	5	0.0	
0	33.108425015383496	117.98139044486156	30.539507447794854	78.54907904994033	1570.9815809988065	5	0.0	
1	24.51396399734471	114.86223547370048	33.21344420386215	95.52690081854324	2006.064917189408	5	0.0	
2	54.84741181551662	171.23441882371742	9.346468246462187	95.81603622893437	1724.6886521208187	5	0.0	
0	15.845434011355445	79.22771054496556	10.932926311162621	62.004405628002964	1674.11895195608	5	0.0	
1	10.177925171148607	87.70803005035062	48.57687266545291	63.69711635855173	1592.4279089637932	5	0.0	
2	24.920896804906437	144.8487993383979	36.23208021359471	81.31403732044166	2276.7930449723663	5	0.0	
0	17.390211288363833	78.55387312811263	16.96063168601739	49.73334898573948	1591.4671675436634	5	0.0	
1	39.41734940109265	142.7392305593511	21.377952116866986	79.925426335158	2557.613642725056	5	0.0	
